"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",11,0.857142857142857,0.806711409395973,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"12","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",12,0.857142857142857,0.806789623887209,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"13","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",13,0.861111111111111,0.812320459623364,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"14","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",14,0.865079365079365,0.817663332623963,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"15","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",15,0.861111111111111,0.812172579752119,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"16","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",16,0.865079365079365,0.817593459933577,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"17","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",17,0.865079365079365,0.817806791842984,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"18","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",18,0.861111111111111,0.81222856169633,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"19","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",19,0.865079365079365,0.817752536532449,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
"20","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,27,"noProc",20,0.869047619047619,0.823045004787743,0.820754716981132,0.756233357540547,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,0.96969696969697,0.75,0.896551724137931,0.55,0.945205479452055,0.975609756097561,0.896103896103896,0.941860465116279,0.888888888888889,0.9,0.764705882352941,0.6875,0.985714285714286,0.930232558139535,0.958333333333333,0.9,0.888888888888889,0.9,0.764705882352941,0.6875,0.96969696969697,0.75,0.896551724137931,0.55,0.927536231884058,0.818181818181818,0.825396825396825,0.611111111111111,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.169811320754717,0.245283018867925,0.10377358490566,0.339622641509434,0.188679245283019,0.320754716981132,0.150943396226415,0.957451224574512,0.86280487804878,0.896327810120914,0.74593023255814
